,year,price,km_traveled,tax,engineSize,km_per_liters,model,transmission,fuel_type
0,2018,9491,39842.43038,0,1.5,20.3643976,Camaro,Manual,Petrol
1,2002,3750,18158.18322,145,3.0,30.0151664,TrailBlazer,Other,Petrol
2,2002,27000,24391.15704,0,1.5,25.040981600000002,Silverado 2500 Extended Cab,Manual,Diesel
3,2005,19200,14405.20234,0,1.8,24.530808800000003,Astro Cargo,Semi-Auto,Hybrid
4,2002,11995,34639.43416,145,1.0,24.658352,S10 Extended Cab,Automatic,Diesel
5,1992,11995,30315.13758,125,1.5,14.114780800000002,Corvette,Semi-Auto,Hybrid
6,1997,18795,23918.01108,30,1.0,28.6121912,2500 Regular Cab,Automatic,Diesel
7,2000,25998,23113.34108,135,1.0,29.334936000000003,Astro Cargo,Semi-Auto,Hybrid
8,1997,19490,35971.96768,30,1.5,29.334936000000003,G-Series 1500,Manual,Diesel
9,2015,6181,36081.402799999996,260,1.0,27.931960800000002,Silverado 1500 Double Cab,Automatic,Petrol
10,1997,8300,52712.32236,145,1.0,29.292421600000004,Tahoe,Other,Hybrid
11,2015,10880,5943.29262,140,1.8,25.5511544,Cruze,Automatic,Hybrid
12,2008,9500,15515.64694,145,1.5,29.334936000000003,Suburban 2500,Automatic,Petrol
13,2004,27000,14344.04742,150,1.0,27.931960800000002,Silverado 2500 HD Crew Cab,Manual,Diesel
14,2007,11440,12070.05,135,1.5,17.643476,Tahoe,Other,Hybrid
15,1994,11000,31272.69488,20,1.0,28.059504,Camaro,Manual,Petrol
16,1999,10298,28163.45,0,1.0,25.040981600000002,Malibu,Other,Other
17,2014,9950,29465.40606,150,1.0,24.020636,Silverado 2500 HD Regular Cab,Automatic,Other
18,2012,59995,24539.21632,30,1.5,24.020636,Traverse,Other,Petrol
19,2011,13490,67109.478,150,1.5,29.334936000000003,Corvette,Semi-Auto,Hybrid
20,2017,12295,39525.3904,145,1.0,25.040981600000002,Camaro,Manual,Petrol
21,2006,8998,60590.04166,20,1.8,29.334936000000003,Silverado 1500 HD Crew Cab,Semi-Auto,Other
22,2007,7800,48280.2,0,1.5,30.0151664,TrailBlazer,Other,Petrol
23,2004,6600,21965.88166,145,1.5,25.040981600000002,Silverado 1500 Crew Cab,Other,Hybrid
24,2010,6995,49266.72542,135,1.8,29.292421600000004,Camaro,Manual,Petrol
25,2008,5999,15505.9909,30,1.0,25.040981600000002,Suburban 2500,Automatic,Petrol
26,1999,5444,21672.98178,0,1.0,24.658352,Lumina,Automatic,Petrol
